,user_time,transform_rate,churn_rate
0,2018-01-01,11.5,31.1
1,2018-01-02,10.6,31.2
2,2018-01-03,4.19,27.8
3,2018-01-04,4.27,27.9
4,2018-01-05,5.88,27.3
5,2018-01-06,7.84,28.1
6,2018-01-07,7.96,28.4
7,2018-01-08,8.54,30.5
8,2018-01-09,9.41,29.0
9,2018-01-10,7.08,27.1
10,2018-01-11,10.05,32.2
11,2018-01-12,6.84,32.3
12,2018-01-13,10.28,34.0
13,2018-01-14,9.71,36.3
14,2018-01-15,10.22,38.5
15,2018-01-16,7.28,38.2
16,2018-01-17,8.1,33.5
17,2018-01-18,8.83,35.4
18,2018-01-19,6.25,35.6
19,2018-01-20,6.38,34.9
20,2018-01-21,10.95,34.0
21,2018-01-22,6.42,32.7
22,2018-01-23,7.17,32.9
23,2018-01-24,9.72,35.4
24,2018-01-25,10.26,36.6
25,2018-01-26,6.31,29.7
26,2018-01-27,6.58,32.2
27,2018-01-28,9.75,33.9
28,2018-01-29,9.57,39.5
29,2018-01-30,8.58,37.3
30,2018-01-31,5.15,32.7
31,2018-02-01,4.02,25.8
32,2018-02-02,3.74,27.2
33,2018-02-03,4.65,27.8
34,2018-02-04,5.88,31.8
35,2018-02-05,5.61,29.9
36,2018-02-06,4.71,32.4
37,2018-02-07,3.4,29.8
38,2018-02-08,2.1,29.0
39,2018-02-09,3.02,29.8
40,2018-02-10,2.66,28.8
41,2018-02-11,2.7,31.2
42,2018-02-12,2.87,33.6
43,2018-02-13,2.99,30.0
44,2018-02-14,3.03,30.7
45,2018-02-15,3.22,34.9
46,2018-02-16,6.15,34.4
47,2018-02-17,6.1,33.7
48,2018-02-18,6.33,36.4
49,2018-02-19,7.17,34.4
50,2018-02-20,6.81,34.4
51,2018-02-21,7.8,38.8
52,2018-02-22,7.44,37.3
53,2018-02-23,9.84,40.8
54,2018-02-24,9.4,37.2
55,2018-02-25,14.64,36.2
56,2018-02-26,12.12,39.8
57,2018-02-27,15.22,39.2
58,2018-02-28,17.28,41.8
59,2018-03-01,20.79,38.6
60,2018-03-02,17.54,36.2
61,2018-03-03,19.96,36.4
62,2018-03-04,22.47,40.0
63,2018-03-05,10.02,38.7
64,2018-03-06,10.24,38.5
65,2018-03-07,11.01,40.8
66,2018-03-08,27.53,40.1
67,2018-03-09,25.29,39.0
68,2018-03-10,24.51,38.9
69,2018-03-11,24.47,40.1
70,2018-03-12,13.94,41.9
71,2018-03-13,10.58,37.2
72,2018-03-14,9.83,37.1
73,2018-03-15,12.0,37.8
74,2018-03-16,7.46,37.5
75,2018-03-17,8.02,31.9
76,2018-03-18,7.09,30.8
77,2018-03-19,7.19,27.8
78,2018-03-20,7.27,27.0
79,2018-03-21,7.86,29.1
80,2018-03-22,6.47,28.9
81,2018-03-23,5.3,27.1
82,2018-03-24,5.94,26.1
83,2018-03-25,6.13,27.3
84,2018-03-26,8.17,30.2
85,2018-03-27,7.95,30.8
86,2018-03-28,7.12,28.1
87,2018-03-29,7.36,26.8
88,2018-03-30,5.6,24.5
89,2018-03-31,5.95,26.4
90,2018-04-01,6.12,26.6
91,2018-04-02,8.03,29.8
92,2018-04-03,4.28,29.2
93,2018-04-04,4.7,25.6
94,2018-04-05,5.59,28.1
95,2018-04-06,5.97,28.8
96,2018-04-07,7.07,28.9
97,2018-04-08,7.82,32.0
98,2018-04-09,7.57,29.2
99,2018-04-10,8.51,33.9
